L,t,U,N_bosons,N_max,GndEigenval,GndEigenvec,FirstExcitedEigenval,Entropy
10,0,1,10,3,2.882831026755819e-11,<block2.cpx.sany.MultiMPS object at 0x0000020AE36B8A70>,1.0000000000000264,"[1.68039534e-18 9.77265342e-18 1.64328181e-15 2.10949193e-15
 1.22928482e-14 4.68928138e-11 7.33873121e-01 1.18056780e+00
 1.33437756e+00]"
10,0.1,1,10,3,-0.34131838462864433,<block2.cpx.sany.MultiMPS object at 0x0000020AAB3BB230>,0.24433967147445426,"[0.3436801  0.7354338  1.10111124 1.39416666 1.61910107 1.77383971
 1.82324534 1.73591697 1.55141518]"
10,0.2,1,10,3,-1.2067275376537632,<block2.cpx.sany.MultiMPS object at 0x0000020AA7CBC7F0>,-0.8272875936038792,"[0.5558143  0.99152691 1.38108848 1.6962071  1.93071532 2.07672377
 2.11484784 2.0363284  1.88159373]"
10,0.3,1,10,3,-2.3530263889161507,<block2.cpx.sany.MultiMPS object at 0x0000020AE4716F70>,-2.0689985166485183,"[0.70511251 1.16786372 1.5639055  1.87027815 2.09012113 2.22390831
 2.2603196  2.194987   2.0607128 ]"
10,0.4,1,10,3,-3.6382797999914778,<block2.cpx.sany.MultiMPS object at 0x0000020AE4715EF0>,-3.3989077755275128,"[0.79760693 1.27686832 1.6759767  1.96906271 2.17270335 2.29751045
 2.33540301 2.282897   2.15890687]"
10,0.5,1,10,3,-4.99656975505934,<block2.cpx.sany.MultiMPS object at 0x0000020AAB3315B0>,-4.778194201146666,"[0.85317279 1.34409617 1.74704352 2.03002529 2.22124208 2.33979321
 2.37893515 2.33663435 2.21438738]"
10,0.6,1,10,3,-6.39701345376141,<block2.cpx.sany.MultiMPS object at 0x0000020AAB38AFF0>,-6.187760384107437,"[0.88593836 1.38640215 1.79420573 2.07080105 2.25341427 2.36770456
 2.40745256 2.37267095 2.24609065]"
10,0.7,1,10,3,-7.823968981304582,<block2.cpx.sany.MultiMPS object at 0x0000020AAB3317F0>,-7.617335797647379,"[0.90469001 1.41367671 1.82687572 2.09984518 2.27669909 2.3881183
 2.42804985 2.39869607 2.2640105 ]"
